TICID,RA,Dec,Tmag,Keywords
158095287,280.4435,-48.9897,8.7,G011250
158157265,281.8415,-50.839,8.81,G011250
160991902,276.1384,-49.6537,5.9,G011025;G011048;G011250
181345316,280.7873,-45.9019,7.9,G011250
181793240,281.2928,-47.1426,8.75,G011250
246771446,283.7857,-47.6229,8.51,G011250
268814233,282.1386,-50.7044,8.05,G011048;G011250
304454153,280.1403,-48.569,8.21,G011048;G011250
304616559,280.9184,-50.166,8.65,G011250
389581558,277.5749,-49.5699,7.72,G011048;G011250
389644839,277.734,-48.0149,6.17,G011048;G011250
6599253,284.3824,-49.0192,8.93,G011250
6720642,284.7015,-50.8599,8.14,G011048;G011250
88885133,274.7097,-46.0083,8.02,G011250
90661277,277.1377,-46.7489,7.41,G011048;G011250
91406139,278.1007,-42.5653,8.84,G011250
101175205,299.0427,-49.9525,8.21,G011250
101177686,299.1956,-49.6218,8.02,G011048;G011250
101400019,300.5301,-49.982,8.49,G011250
114680194,293.9586,-40.4979,8.36,G011048;G011250
128677521,299.3107,-46.7763,8.47,G011250
128797775,300.3776,-42.4846,8.15,G011250
128914284,301.1026,-45.0333,8.86,G011250
129139441,302.5663,-47.3318,8.28,G011048;G011250
143345566,293.7234,-42.5027,8.85,G011250
143345854,293.8203,-42.1843,8.19,G011048;G011250
143394943,294.2826,-42.8121,8.44,G011250
143410526,294.5481,-46.0345,8.73,G011250
143412439,294.7217,-47.5151,8.41,G011250
261399678,94.6175,-78.9851,9.55,G011291
140997881,78.1717,-76.1816,11.18,G011291
141153349,80.5645,-75.5266,11.91,G011291
141181136,81.0292,-72.1264,12.78,G011291
141709134,90.8946,-76.7799,11.05,G011291
141770592,92.0998,-77.6534,9.73,G011291
142016953,96.6862,-77.7385,11.47,G011291
142018015,97.1108,-75.7551,11.32,G011291
238228073,58.7977,-75.8307,10.1,G011291
269797243,69.0037,-78.1371,11.53,G011291
299801633,59.9047,-77.0651,11.92,G011291
30848598,75.7377,-68.5667,10.79,G011291
31507696,89.362,-70.7346,12.71,G011291
31511274,89.3528,-67.8501,11.9,G011291
33864807,65.691,-72.0899,10.69,G011291
389325251,85.8012,-70.2922,11.61,G011291
167010110,95.1181,-66.7542,11.87,G011291
167010188,95.201,-66.8472,12.96,G011291
167088162,95.8392,-69.5096,11.9,G011291
167416841,99.5455,-71.2116,12.8,G011291
177160057,104.1777,-67.9581,10.9,G011291
177309707,103.2236,-75.3091,12.95,G011291
177312861,103.8146,-74.5655,12.99,G011291
141969034,177.9233,-30.8364,5.25,G011155;G011048;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
142114952,179.3674,-31.5119,8.4,G011048
142328358,181.5211,-32.9623,6.03,G011025;G011048;G011250
204650599,184.8643,-26.1079,7.76,G011025;G011048;G011250
22342992,178.4088,-20.3532,8.71,G011048;G011250
270262695,175.2829,-29.1952,5.88,G011048
293084955,178.1958,-24.4722,7.82,G011048;G011250
389302401,183.824,-33.9623,10.26,G011048
389312149,188.3294,-25.2677,7.96,G011048
398243889,181.3661,-22.4333,8.69,G011048
413482381,177.6575,-23.483,7.63,G011048;G011250
422351727,182.0831,-21.0593,8.96,G011048
443671308,186.9973,-27.1518,9.39,G011048
